request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000.00,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 80998512.40 available over the next 90 days.
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670.00,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 75551.25 available over the next 90 days.
request_28,253.56,not_affordable,not_recommended,none,,none,The full EUR 1302.4 request cannot be completed safely within the next 90 days without exceeding the EUR 1100 minimum. Up to EUR 253.56 is safe to pay today.
request_29,51524.00,affordable_now,full_payment,2025-11-04:51524.00,2025-11-04,none,Pay ZAR 51524 today. This leaves at least ZAR 44824.72 available over the next 90 days.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 2796.93 available."
request_31,1329957.11,affordable_later,wait,2024-11-13:18164000.00,2024-11-13,none,"Wait until 2024-11-13, then pay IDR 18164000 in full. Paying sooner would put the IDR 16588900 minimum at risk."
request_32,8008.31,not_affordable,not_recommended,none,,none,The full ZAR 40018 request cannot be completed safely within the next 90 days without exceeding the ZAR 35700 minimum. Up to ZAR 8008.31 is safe to pay today.
request_33,32574.48,not_affordable,not_recommended,none,,none,The full INR 118000 request cannot be completed safely within the next 90 days without exceeding the INR 102100 minimum. Up to INR 32574.48 is safe to pay today.
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400.00,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 228548.89 available over the next 90 days.
request_35,18356.26,not_affordable,not_recommended,none,,none,The full INR 212000 request cannot be completed safely within the next 90 days without exceeding the INR 106400 minimum. Up to INR 18356.26 is safe to pay today.
request_36,500.19,not_affordable,not_recommended,none,,none,The full USD 3954 request cannot be completed safely within the next 90 days without exceeding the USD 2400 minimum. Up to USD 500.19 is safe to pay today.
request_37,0.00,not_affordable,not_recommended,none,,none,The full IDR 14649000 request cannot be completed safely within the next 90 days without exceeding the IDR 17056200 minimum. Up to IDR 0.00 is safe to pay today.
request_38,222.11,affordable_later,wait,2025-10-13:971.30,2025-10-13,none,"Wait until 2025-10-13, then pay EUR 971.3 in full. Paying sooner would put the EUR 400 minimum at risk."
request_39,117757.01,not_affordable,not_recommended,none,,none,The full INR 208600 request cannot be completed safely within the next 90 days without exceeding the INR 213400 minimum. Up to INR 117757.01 is safe to pay today.
request_40,207.74,not_affordable,not_recommended,none,,none,The full EUR 1290.3 request cannot be completed safely within the next 90 days without exceeding the EUR 1500 minimum. Up to EUR 207.74 is safe to pay today.
request_41,6748154.65,affordable_later,wait,2026-01-13:38760000.00,2026-01-13,none,"Wait until 2026-01-13, then pay IDR 38760000 in full. Paying sooner would put the IDR 25366600 minimum at risk."
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100.00,2026-01-05,none,Pay INR 52100 today. This leaves at least INR 152381.21 available over the next 90 days.
request_43,9777449.10,affordable_later,wait,2024-11-13:43339000.00,2024-11-13,none,"Wait until 2024-11-13, then pay IDR 43339000 in full. Paying sooner would put the IDR 21398000 minimum at risk."
request_44,28728.74,affordable_later,wait,2025-04-18:95800.00,2025-04-18,none,"Wait until 2025-04-18, then pay INR 95800 in full. Paying sooner would put the INR 82900 minimum at risk."
request_45,3960217.85,not_affordable,not_recommended,none,,none,The full IDR 21983000 request cannot be completed safely within the next 90 days without exceeding the IDR 11149800 minimum. Up to IDR 3960217.85 is safe to pay today.
request_46,36147.77,not_affordable,not_recommended,none,2025-01-16,none,The full INR 49450 request cannot be completed safely within the next 90 days without exceeding the INR 84000 minimum. Up to INR 36147.77 is safe to pay today.
